Sentence,Anger,Disgust,Fear,Joy,Sadness,Top Feeling
Others rate a movie on more important baseslike being entertained which is why most people never agree with the critics.,0.256857,0.232278,0.024562,0.295449,0.135046,Joy
We enjoyed the effort Mr. Hines put into being faithful to H. Wells classic novel and we found it to be very entertaining.,0.085047,0.036533,0.025949,0.727772,0.033901,Joy
This made it easy to overlook what the critics perceive to be its shortcomings.,0.187695,0.148436,0.10779,0.24594,0.243024,Joy
The film starts with a manager Nicholas Bell giving welcome investors Robert Carradine to Primal Park .,0.09051,0.055126,0.029295,0.671324,0.050164,Joy
A secret project mutating a primal animal using fossilized DNA like Jurassik Park and some scientists resurrect one of natures most fearsome predators the Sabretooth tiger or Smilodon .,0.141481,0.601477,0.015318,0.127331,0.134623,Disgust
Scientific ambition turns deadly however and when the high voltage fence is opened the creature escape and begins savagely stalking its prey  the human visitors  tourists and scientific.,0.211075,0.29967,0.343241,0.068254,0.190162,Fear
Meanwhile some youngsters enter in the restricted area of the security center and are attacked by a pack of large prehistorical animals which are deadlier and bigger .,0.168192,0.316765,0.307218,0.001271,0.394918,Sadness
In addition  a security agent Stacy Haiduk and her mate Brian Wimmer fight hardly against the carnivorous Smilodons.,0.197361,0.181998,0.315163,0.08523,0.287691,Fear
The Sabretooths themselves  of course are the real star stars and they are astounding terrifyingly though not convincing.,0.060961,0.033624,0.102658,0.517145,0.137412,Joy
The giant animals savagely are stalking its prey and the group run afoul and fight against one natures most fearsome predators.,0.186344,0.668958,0.164832,0.013134,0.137678,Disgust
Furthermore a third Sabretooth more dangerous and slow stalks its victims.,0.335998,0.154801,0.329145,0.002758,0.366131,Sadness
The movie delivers the goods with lots of blood and gore as beheading hairraising chillsfull of scares when the Sabretooths appear with mediocre special effects.,0.067109,0.038747,0.685406,0.021595,0.247624,Fear
The story provides exciting and stirring entertainment but it results to be quite boring .,0.087379,0.094503,0.035294,0.308723,0.341327,Sadness
The giant animals are majority made by computer generator and seem totally lousy .,0.222306,0.480569,0.126958,0.05255,0.256472,Disgust
Middling performances though the players reacting appropriately to becoming food.,0.119713,0.368608,0.293122,0.084197,0.219067,Disgust
Actors give vigorously physical performances dodging the beasts runningbound and leaps or dangling over walls .,0.267066,0.184404,0.162518,0.155019,0.23989,Anger
And it packs a ridiculous final deadly scene.,0.461846,0.371012,0.071502,0.002029,0.305947,Anger
No for small kids by realisticgory and violent attack scenes .,0.191868,0.580878,0.321374,0.001128,0.121576,Disgust
Other films about Sabretooths or Smilodon are the following  Sabretooth2002by James R Hickox with Vanessa Angel David Keith and John Rhys Davies and the much better 10. 000 BC2006 by Roland Emmerich with with Steven Strait Cliff Curtis and Camilla Belle.,0.068405,0.135179,0.149313,0.498327,0.035618,Joy
This motion picture filled with bloody moments is badly directed by George Miller and with no originality because takes too many elements from previous films.,0.289074,0.335136,0.148596,0.008907,0.406791,Sadness
Rating  Below average bottom of barrel.,0.207238,0.130087,0.205042,0.045723,0.493534,Sadness
Its questionable that people with ideas as to what an opera or for that matter a play especially one by Shakespeare is about should be allowed anywhere near a theatre or film studio.,0.193183,0.596669,0.061117,0.041632,0.233134,Disgust
Sick dude Anyway as kids they fled from Russia with their parents but nasty soldiers brutally slaughtered mommy and daddy.,0.270145,0.397467,0.379488,0.000498,0.182595,Disgust
A friendly smuggler took custody over them however and even raised and trained Bo and Ingrid into expert smugglers.,0.504222,0.398081,0.071303,0.023245,0.190508,Anger
When the actual plot lifts off 20 years later theyre facing their ultimate quest as the mythical and incredibly valuable White Fire diamond is coincidentally found in a mine.,0.197999,0.231819,0.062257,0.306502,0.139409,Joy
Very few things in life ever made as little sense as the plot and narrative structure of White Fire but it sure is a lot of fun to watch.,0.050463,0.043711,0.038315,0.560511,0.156432,Joy
The original French title translates itself as Life to Survive which is uniquely appropriate because it makes just as much sense as the rest of the movie None.,0.205892,0.021516,0.170867,0.244581,0.269265,Sadness
I dont know why people think this is such a bad movie.,0.279643,0.276793,0.162892,0.001045,0.471903,Sadness
Its got a pretty good plot some good action and the change of location for Harry does not hurt either.,0.134338,0.035159,0.053814,0.400958,0.228759,Joy
Sure some of its offensive and gratuitous but this is not the only movie like that.,0.142104,0.536866,0.058489,0.075433,0.265457,Disgust
Eastwood is in good form as Dirty Harry and I liked Pat Hingle in this movie as the small town cop.,0.111477,0.649516,0.055295,0.091256,0.140186,Disgust
If you liked DIRTY HARRY then you should see this one its a lot better than THE DEAD POOL.,0.076889,0.564296,0.034339,0.036375,0.386364,Disgust
This movie could have been very good but comes up way short.,0.028849,0.042231,0.10113,0.441052,0.220115,Joy
Cheesy special effects and soso acting.,0.080251,0.045872,0.153207,0.314145,0.275146,Joy
I could have looked past that if the story wasnt so lousy.,0.036462,0.325019,0.176248,0.07035,0.439647,Sadness
If there was more of a background story it would have been better.,0.044829,0.042081,0.131882,0.485549,0.145755,Joy
The plot centers around an evil Druid witch who is linked to this woman who gets migraines.,0.170736,0.132999,0.220071,0.019525,0.569823,Sadness
The movie drags on and on and never clearly explains anything it just keeps plodding on.,0.176514,0.282496,0.105792,0.030414,0.522999,Sadness
Christopher Walken has a part but it is completely senseless as is most of the movie.,0.193617,0.290181,0.074151,0.043646,0.49863,Sadness
This movie had potential but it looks like some really bad made for TV movie.,0.472151,0.219951,0.13488,0.030816,0.300244,Anger
I would avoid this movie.,0.246325,0.328775,0.295055,0.005182,0.327282,Disgust
I watched this video at a friends house.,0.116483,0.09062,0.160737,0.257599,0.276893,Sadness
Im glad I did not waste money buying this one.,0.135336,0.137383,0.097524,0.35377,0.168153,Joy
The video cover has a scene from the 1975 movie Capricorn One.,0.096721,0.332716,0.068969,0.13073,0.371829,Sadness
The movie starts out with several clips of rocket blowups most not related to manned flight.,0.094226,0.419622,0.127889,0.068546,0.371799,Disgust
Sibrels smoking gun is a short video clip of the astronauts preparing a video broadcast.,0.060926,0.712623,0.239819,0.010203,0.120874,Disgust
He edits in his own voiceover instead of letting us listen to what the crew had to say.,0.288597,0.15053,0.167412,0.234294,0.128931,Anger
The video curiously ends with a showing of the Zapruder film.,0.120834,0.246108,0.138043,0.204229,0.250267,Sadness
His claims about radiation shielding star photography and others lead me to believe is he extremely ignorant or has some sort of ax to grind against NASA the astronauts or American in general.,0.239742,0.391933,0.034352,0.025364,0.453614,Sadness
His science is bad and so is this video.,0.079316,0.078681,0.3587,0.002308,0.592606,Sadness
A friend of mine bought this film for 1 and even then it was grossly overpriced.,0.376046,0.515718,0.013008,0.014844,0.266528,Disgust
It uses tired bottom of the barrel comedic techniques  consistently breaking the fourth wall as Sandler talks to the audience and seemingly pointless montages of hot girls.,0.154076,0.164726,0.310148,0.004855,0.513246,Sadness
Adam Sandler plays a waiter on a cruise ship who wants to make it as a successful comedian in order to become successful with women.,0.06627,0.086777,0.01603,0.31438,0.368668,Sadness
When the ships resident comedian  the shamelessly named Dickie due to his unfathomable success with the opposite gender  is presumed lost at sea Sandlers character Shecker gets his big break.,0.118823,0.234252,0.198646,0.015964,0.561565,Sadness
Dickie is not dead hes rather locked in the bathroom presumably sea sick.,0.108263,0.606591,0.125325,0.010936,0.306853,Disgust
Perhaps from his mouth he just vomited the worst film of all time.,0.069535,0.885984,0.065469,0.001741,0.076391,Disgust
This movie is full of references.,0.10248,0.131425,0.092143,0.358161,0.19687,Joy
Like Mad Max II The wild one and many others.,0.460476,0.182685,0.121727,0.053821,0.297036,Anger
The ladybugs face its a clear reference or tribute to Peter Lorre.,0.128423,0.172116,0.074908,0.198147,0.368789,Sadness
This movie is a masterpiece.,0.058608,0.056386,0.063598,0.581973,0.105366,Joy
Well talk much more about in the future.,0.053454,0.033831,0.135589,0.428677,0.19263,Joy
What happens when an army of wetbacks towelheads and Godless Eastern European commies gather their forces south of the border Gary Busey kicks their butts of course.,0.483884,0.32905,0.193963,0.023049,0.170974,Anger
Another laughable example of Reaganera cultural fallout Bulletproof wastes a decent supporting cast headed by L Q Jones and Thalmus Rasulala.,0.327258,0.425823,0.085309,0.006094,0.356498,Disgust
Although I generally do not like remakes believing that remakes are waste of time.,0.429381,0.200286,0.065295,0.01463,0.452389,Sadness
this film is an exception.,0.158199,0.264115,0.139342,0.234232,0.166338,Disgust
I didnt actually know so far until reading the previous comment that this was a remake so my opinion is purely about the actual film and not a comparison.,0.366811,0.433566,0.236976,0.043316,0.103212,Disgust
The story and the way it is written is no question it is Capote.,0.222004,0.141148,0.103021,0.285784,0.183619,Joy
There is no need for more words.,0.228519,0.160048,0.128988,0.21885,0.229199,Sadness
The play of Anthony Edwards and Eric Roberts is superb.,0.073538,0.073564,0.077007,0.464725,0.167691,Joy
I have seen some movies with them each in one or the other.,0.082586,0.087974,0.10414,0.34537,0.245964,Joy
I was certain that they are good actors and in case of Eric I always wondered why his sister is the number 1 famous star and not her brother.,0.128119,0.198228,0.164141,0.244664,0.205928,Joy
This time this certainty is raised to fact no question.,0.250345,0.12811,0.090263,0.237223,0.242113,Anger
His play just as well as the play of Mr. Edwards is clearly the top of all their profession.,0.059784,0.058247,0.045194,0.414394,0.261888,Joy
I recommend this film to be on your top 50 films to see and keep on your DVD shelves.,0.112223,0.187965,0.049844,0.47878,0.066033,Joy
Harvey Lights a Candle is anchored by a brilliant performance by Timothy Spall.,0.036798,0.059248,0.064176,0.660997,0.062146,Joy
While we can predict that his titular morose up tight teacher will have some sort of break down or catharsis based on some deep down secret from his past how his emotions are unveiled is surprising.,0.120627,0.141859,0.320341,0.12059,0.30105,Fear
Spalls range of feelings conveyed is quite moving and more than he usually gets to portray as part of the Mike Leigh repertory.,0.08211,0.064837,0.219307,0.155759,0.419893,Sadness
The young actors some of whom I recognized from British TV such as Shameless were exuberant in representing the usual range of junior high social pressures.,0.280779,0.320375,0.21586,0.035256,0.30673,Disgust
Celia Imrie puts more warmth into the supervisors role than the martinets she usually has to play.,0.153687,0.157413,0.227559,0.125523,0.341773,Sadness
A break in the trip leads to a transformative crisis for some while others remain amusingly oblivious.,0.207885,0.069831,0.300577,0.011378,0.535316,Sadness
Nathalie Press who was also so good in Summer of Love has a key role in Mr. I had a feeling that after Submerged this one wouldnt be any better.,0.028777,0.009291,0.023669,0.748185,0.081057,Joy
I was right.,0.183852,0.035026,0.05979,0.474477,0.118784,Joy
He must be looking for champagne money and not care about the final product.,0.179911,0.215887,0.15599,0.071392,0.442478,Sadness
his voice gets repeatedly dubbed over by a stranger that sounds nothing like him.,0.324836,0.098783,0.442672,0.004251,0.303292,Fear
the editing is  well  just a grade above amateurish.,0.107729,0.130005,0.055467,0.359183,0.224446,Joy
Its nothing more than a B or Cgrade movie with just enough money to hire a couple talented cameramen and an OK sound designer.,0.148386,0.029281,0.126877,0.50234,0.069273,Joy
Like the previous poster said the problems seem to appear in postproduction .,0.058699,0.133895,0.307278,0.002277,0.615253,Sadness
voice dubbing etc.,0.124925,0.034265,0.16412,0.192391,0.39967,Sadness
Too bad cause the plots actually OK for a SG flick.,0.288354,0.113249,0.368738,0.003407,0.398004,Sadness
Ill never rent another SG flick unless he emails me asking for forgiveness.,0.479786,0.096633,0.198513,0.011612,0.37041,Anger
Too bad  I miss Kelly LeBrock.,0.057328,0.026468,0.385173,6.7e-05,0.624742,Sadness
note to George Litman and others the Mystery Science Theater 3000 riff is I dont think so breeder.,0.108725,0.100366,0.121244,0.182757,0.41674,Sadness
my favorite riff is Why were you looking at his like simply for the complete absurdity.,0.086932,0.048301,0.063064,0.455124,0.195594,Joy
that and Right well did not over all I would say we must give credit to the MST3K crew for trying to ridicule this TV movie.,0.218168,0.107053,0.071144,0.004677,0.713004,Sadness
you really cant make much fun of the dialog.,0.082156,0.051619,0.206593,0.208736,0.357915,Sadness
Bill S was a good playwright.,0.142592,0.092298,0.059298,0.539352,0.056051,Joy
on the other hand this production is so bad that even he would disown it.,0.125548,0.40347,0.154375,0.010169,0.467806,Sadness
a junior high school drama club could do better.,0.112675,0.096071,0.091398,0.358108,0.217771,Joy
I would recommend that you buy a book and read Hamlet.,0.187298,0.132691,0.043473,0.333827,0.201804,Joy
Stephen King adaptation scripted by King himself in which a young family newcomers to rural Maine find out about the pet cemetery close to their home.,0.157989,0.140474,0.272597,0.160814,0.248622,Fear
The father Dale Midkiff then finds out about the Micmac burial ground beyond the pet cemetery that has powers of resurrection  only of course anything buried there comes back not quite RIGHT.,0.365627,0.093787,0.227817,0.003705,0.473368,Sadness
Below average horror picture starts out clumsy insulting and inept and continues that way for a while with the absolute worst element being Midkiffs worthless performance.,0.086649,0.412897,0.300442,0.008956,0.354939,Disgust
It gets a little better toward the end with genuinely disturbing finale.,0.124297,0.084931,0.199209,0.099693,0.488089,Sadness
In point of fact the whole movie is really disturbing which is why I cant completely dismiss it  at least it has SOMETHING to make it memorable.,0.133999,0.34372,0.117885,0.105756,0.346766,Sadness
Decent supporting performances by Fred Gwynne as the wise old aged neighbor and Brad Greenquist as the disfigured spirit Victor Pascow are not enough to really redeem film.,0.157258,0.251627,0.085695,0.188823,0.285531,Sadness
King has his usual cameo as the minister.,0.163077,0.124985,0.082099,0.302744,0.233341,Joy
Followed by a sequel also directed by Mary Lambert is it any wonder that shes had no mainstream film work since.,0.10629,0.083552,0.291239,0.134148,0.36404,Sadness
The Matrix was an exciting summer blockbuster that was visually fantastic but also curiously thought provoking in its Twilight Zoneish manner.,0.162893,0.042712,0.029223,0.600788,0.054072,Joy
The general rule applies here and this sequel doesnt match up to its predecessor.,0.108548,0.121001,0.153037,0.15926,0.417175,Sadness
Worse than that it doesnt even compare with it.,0.174999,0.266486,0.122986,7.3e-05,0.598703,Sadness
Reloaded explodes onto the screen in the most unprofessional fashion.,0.428929,0.228333,0.048984,0.012486,0.449646,Sadness
In the opening few seconds the first impression is a generally good one as Trinity is shot in a dream.,0.063202,0.071254,0.088952,0.498474,0.136044,Joy
Immediately after that the film nosedives.,0.189053,0.32363,0.123044,0.193636,0.169302,Disgust
After a disastrous first 45 minutes it gradually gains momentum when they enter the Matrix and the Agent Smith battle takes place.,0.129478,0.297547,0.21024,0.112659,0.289119,Disgust
But it loses itself all speed when it reaches the 14minute car chase sequence and gets even worse at the big groanworthy twist at the end.,0.208933,0.154443,0.258841,0.000879,0.537926,Sadness
Worst of all is the overlong Zion Rave scene.,0.476641,0.279864,0.13339,0.001802,0.320819,Anger
Not only does it have absolutely nothing to do with the plot but its also a pathetic excuse for porn and depressive dance music.,0.081556,0.700636,0.001552,0.005768,0.333887,Disgust
The bullettime aspect of The Matrix was a good addition but in Reloaded they overuse to make it seem boring.,0.11496,0.071309,0.113242,0.106345,0.569665,Sadness
In the first one there were interesting plot turns but here it is too linear to be remotely interesting.,0.095243,0.020956,0.037795,0.466621,0.218506,Joy
The movie is basically just a series of stylish diversions that prevent us from realising just how empty it really is.,0.148871,0.039486,0.181792,0.02072,0.68203,Sadness
It works on the incorrect principle that bigger is better.,0.054304,0.051719,0.214534,0.291692,0.258213,Joy
It appears that The Matrix franchise has quickly descended into the special effects drenched misfire that other franchises such as the Star Wars saga have.,0.050086,0.088432,0.36546,0.117012,0.35886,Fear
The acting standard is poor for the most part.,0.15837,0.1677,0.247387,0.001926,0.573664,Sadness
The best character of course goes to Hugo Weavings Agent Smith the only one to be slightly interesting.,0.077668,0.011897,0.038457,0.636579,0.104125,Joy
Keanu Reeves is the definitive Neo but in all the special effects there is little room to make much of an impact.,0.061059,0.058092,0.220118,0.358876,0.171338,Joy
Academy Award Nominee Laurence Fishburne is reduced to a monotonous mentor with poor dialogue.,0.133936,0.261592,0.548399,0.009888,0.213729,Fear
Carrie Ann Moss part as the action chick could have been done much better by any other actress.,0.050035,0.060184,0.118471,0.370067,0.250484,Joy
A poor throwntogether movie The Matrix Reloaded is a disappointment.,0.070595,0.04002,0.279261,0.000661,0.701234,Sadness
Those who didnt like the first one are unlikely to flock to it.,0.149241,0.090216,0.137615,0.033931,0.655834,Sadness
This ones for diehard fans only.,0.044515,0.474558,0.012166,0.215522,0.202609,Disgust
Even in the movies own subgenre of special effect bonanzas Minority Report The Matrix etc.  this is still rather poor.,0.086194,0.113858,0.084889,0.016789,0.770878,Sadness
My IMDb rating 4. Ulli Lommels 1980 film The Boogey Man is no classic but its an above average low budget chiller thats worth a look.,0.125505,0.703887,0.09029,0.044896,0.137542,Disgust
The sequel 1983s Boogey Man II is ultimately a waste of time but at the very least its an entertaining one if not taken the least bit seriously.,0.266564,0.278188,0.169112,0.002516,0.472291,Sadness
Now II left the door open for another sequel and I for one wouldnt have minded seeing at least one more.,0.17812,0.080248,0.217964,0.00578,0.637434,Sadness
One day while I was browsing though the videos at a store in the mall I came across a film entitled Return of the Boogey Man.,0.081969,0.087667,0.236011,0.158047,0.384374,Sadness
When I found out it was a sequel to the earlier films I was happy to shell out a few bucks for it.,0.041854,0.021772,0.071403,0.599731,0.120369,Joy
I should have known better.,0.058541,0.027862,0.083069,0.427978,0.238122,Joy
Though the opening title is Boogey Man 3 this is no sequel to those two far superior films I named above.,0.135215,0.256248,0.045333,0.22031,0.295177,Sadness
Well not totally anyway.,0.109968,0.250227,0.544325,0.020998,0.215936,Fear
Pros Ha Thats a laugh.,0.045503,0.06684,0.071212,0.693367,0.024005,Joy
Is there anything good about this hunk of cow dung Lets see. it has footage from The Boogey Man and um.,0.098012,0.376047,0.041955,0.335917,0.071614,Disgust
its mercifully short.,0.054465,0.12478,0.322079,0.007893,0.591055,Sadness
Yeah thats about it.,0.170852,0.132864,0.169519,0.17763,0.315218,Sadness
Cons Where to start Decisions decisions.,0.180257,0.142706,0.160101,0.247743,0.207454,Joy
First of all this movie is a total bore.,0.169725,0.091544,0.087618,0.054214,0.637907,Sadness
It goes from one scene to the next without anything remotely interesting or scary happening.,0.104622,0.053596,0.607024,0.026405,0.288112,Fear
The acting is stiff at best.,0.089979,0.01346,0.110164,0.562467,0.087584,Joy
The actors are most likely friends of the director who had no acting experience whatsoever before and probably none since.,0.151753,0.06464,0.135749,0.023107,0.694125,Sadness
The plot is nonexistent and script shoddily written.,0.30779,0.178164,0.385888,0.112506,0.084912,Fear
The direction is just plain awful.,0.453539,0.300282,0.323176,0.001994,0.155872,Anger
The director tries to make the film look all artsy fartsy by making the camera move around lights flicker and with filters but it adds nothing.,0.12695,0.240148,0.073117,0.394082,0.077622,Joy
The music is dull and hard to hear in parts.,0.059628,0.056375,0.118571,0.066969,0.68599,Sadness
Ties to the original are botched.,0.254674,0.147991,0.160546,0.099898,0.373436,Sadness
Suzanna Loves character was named Lacey not Natalie And the events depicted in the beginning of the original did not take place in 1978.,0.021349,0.079997,0.031504,0.562322,0.156056,Joy
Also if this has a 3 in the title why is there no mention of what happened in II Finally this adds nothing new or interesting to either the series or the genre.,0.093207,0.020042,0.047787,0.335045,0.347038,Sadness
Final thoughts The people behind this waste of time and money should be ashamed of themselves.,0.262696,0.65081,0.076865,0.000484,0.208807,Disgust
Its one thing if that had been an original film that was the directors first and sucked.,0.348248,0.38471,0.176144,0.035109,0.231807,Disgust
But instead its supposed to be a sequel to film that is no masterpiece but is damn sure far more interesting and entertaining than this.,0.381475,0.095481,0.085814,0.100727,0.379646,Anger
My rating 15. styled film songs.,0.113355,0.100469,0.151552,0.345535,0.173008,Joy
The cinematography speaks of the excellent skills of Josef Werching that accentuate the monumental and cinema scope effect of the film in its entirety.,0.041316,0.054393,0.018618,0.757677,0.040435,Joy
Gone are the days of great cinema when every scene had to be clipped many times and retakes taken before finalizing it while meticulous attention was paid in crafting and editing the scenes.,0.050718,0.221508,0.056034,0.426021,0.128856,Joy
At the moment Raj Kumar follows her and a strong gale of wind blew away the veil of Kumari and onto the legs of Kumar.,0.02471,0.064758,0.334994,0.153281,0.359044,Sadness
Kamal Amrohi shall always be remembered with golden words in the annals of Indian Cinemas history for endeavoring to complete this movie in a record setting 12 years.,0.07077,0.052062,0.031361,0.515025,0.178912,Joy
He had to manage filming of some of the vital songs without Meenas close ups because Meena Kumari the lady in the lead role was terminally ill and fighting for her life in early 1971.,0.250096,0.156694,0.169974,0.024072,0.526437,Sadness
Most people especially young people may not understand this film.,0.163904,0.715554,0.042835,0.066924,0.096013,Disgust
It looks like a story of loss when it is actually a story about being alone.,0.028901,0.089798,0.17051,0.002743,0.784159,Sadness
Some people may never feel loneliness at this level.,0.124381,0.198957,0.46991,0.007564,0.34823,Fear
Cheadles character Johnson reflected the total opposite of Sandlers character Fineman.,0.278574,0.175383,0.11712,0.154826,0.280926,Sadness
Where Johnson felt trapped by his blessings Fineman was trying to forget his life in the same perspective.,0.04876,0.040165,0.150615,0.101999,0.612754,Sadness
Jada is a wonderful additive to the cast and Sandler pulls tears.,0.069062,0.044305,0.039268,0.524983,0.171834,Joy
Cheadle had the comic role and was a great supporter for Sandler.,0.054889,0.130556,0.03247,0.571449,0.090364,Joy
I see Oscars somewhere here.,0.1188,0.156479,0.110692,0.240614,0.297066,Sadness
A very fine film.,0.072066,0.270649,0.076926,0.335574,0.150849,Joy
If you have ever lost and felt alone this film will assure you that youre not alone.,0.028044,0.031948,0.290412,0.023358,0.66823,Sadness
Soylent Green is one of the best and most disturbing science fiction movies of the 70s and still very persuasive even by todays standards.,0.030793,0.077624,0.027033,0.508789,0.197846,Joy
Although flawed and a little dated the apocalyptic touch and the environmental premise typical for that time still feel very unsettling and thoughtprovoking.,0.160507,0.160423,0.269407,0.038267,0.467578,Sadness
This films qualitylevel surpasses the majority of contemporary SF flicks because of its strong cast and some intense sequences that I personally consider classic.,0.153552,0.180207,0.03455,0.413472,0.115912,Joy
The New York of 2022 is a depressing place to be alive with overpopulation unemployment an unhealthy climate and the total scarcity of every vital food product.,0.241784,0.199795,0.07287,0.029013,0.566532,Sadness
The only form of food available is synthetic and distributed by the Soylent company.,0.264708,0.16408,0.074691,0.228079,0.226312,Anger
Charlton Heston in a great shape plays a cop investigating the murder of one of Soylents most eminent executives and he stumbles upon scandals and dark secrets.,0.069651,0.430429,0.270847,0.143012,0.110793,Disgust
The script is a little oversentimental at times and the climax doesnt really come as a big surprise still the atmosphere is very tense and uncanny.,0.157186,0.308073,0.292108,0.030941,0.352921,Sadness
The riotsequence is truly grueling and easily one of the most macabre moments in 70s cinema.,0.026667,0.028862,0.044191,0.583999,0.160156,Joy
Robinson is ultimately impressive in his last role and theres a great but too modest supportive role for Joseph Cotton Baron Blood The Abominable Dr. THIS is ScienceFiction in my book a nightmarish and inevitable fade for humanity No fancy spaceships with hairy monsters attacking our planet.,0.314658,0.235871,0.218275,0.081609,0.246241,Anger
Michael Stearns plays Mike a sexually frustrated individual with an interesting moral attitude towards sexuality.,0.424729,0.052714,0.015021,0.320758,0.104105,Anger
He has no problem ogling naked dancers but when women start having sex with men thats when he loses it.,0.031384,0.703517,0.063792,0.002186,0.326612,Disgust
He believes that when women actually have sex thats when they lose any sense of innocence andor beauty.,0.076515,0.449619,0.027018,0.112243,0.353874,Disgust
So he strolls through the Hollywood Hills stalking lovemaking couples at a distance ultimately shooting the men dead with a highpowered rifle with a scope.,0.191515,0.376683,0.205971,0.043288,0.318936,Disgust
The seeming primary reason for this movies existence is to indulge in sexual activity over and over again.,0.178287,0.272885,0.07288,0.116256,0.387644,Sadness
The story comes off as more of an afterthought.,0.096747,0.193445,0.070789,0.236375,0.324168,Sadness
Of course seeing a fair deal of it through a scope ups the creepiness factor considerably and illustrates the compulsion towards voyeurism.,0.424861,0.033195,0.019959,0.272478,0.169541,Anger
For one thing Mike eyes the couples through the scope for minutes at a time before finally pulling the trigger.,0.102161,0.151393,0.105731,0.351046,0.18045,Joy
This is all underscored by awfully intrusive if somewhat atmospheric music on the soundtrack.,0.232687,0.121031,0.163656,0.089403,0.425115,Sadness
Those with a penchant for lurid trash are bound to enjoy this to one degree or another.,0.092101,0.320644,0.012899,0.346831,0.135853,Joy
It even includes one lesbian tryst that confounds Mike and renders him uncertain how to react.,0.134202,0.439441,0.183509,0.005925,0.410066,Disgust
It unfolds at a very slow pace but wraps up with a most amusing ironic twist.,0.199199,0.097945,0.165452,0.137906,0.390352,Sadness
Its a kinky and twisted rarity that if nothing else is going to definitely keep some viewers glued to the screen.,0.261271,0.072608,0.311114,0.125792,0.244514,Fear
Cary Grant delivers more knockabout blows with his knuckledup fists than he did in all of his movies put together.,0.106936,0.096421,0.075699,0.414467,0.177885,Joy
Sergeant Archibald Cutter Cary Grant of The Last Outpost Sergeant MacChesney Oscarwinner Victor McLaglen of The Informer and Sergeant Ballantine Douglas Fairbanks Jr. Naturally Cutter and MacChesney drum up assorted schemes to derail Ballentines plans.,0.103852,0.245792,0.284378,0.224862,0.104865,Fear
When their superiors order them back into action with Sgt.,0.143932,0.080931,0.069657,0.286106,0.315763,Sadness
Bertie Higginbotham Robert Coote of The Sheik Steps Out Cutter and MacChesney drug Higginbotham so that he cannot accompany them and Ballantine has to replace him.,0.200348,0.193907,0.335565,0.009823,0.421936,Sadness
Half of the fun here is watching the principals trying to outwit each other without hating themselves.,0.075487,0.078991,0.059139,0.479077,0.165068,Joy
