Sentence,Anger,Disgust,Fear,Joy,Sadness,Top Feeling
The acting that Pet Sematary had was pretty good but needed a little bit of work.,0.110886,0.018699,0.240705,0.315163,0.188859,Joy
The story was one of the main parts of this movie mainly because it was so original and gripping.,0.037938,0.110392,0.087197,0.283621,0.35028,Sadness
This film features lots of makeup effects that make the movie way more eerie and frightening.,0.059339,0.047422,0.069471,0.364989,0.299053,Joy
One of the most basic reasons why this movie sent chills up my back was in fact the makeup effects.,0.04356,0.020966,0.122698,0.21771,0.463749,Sadness
There is one character in this film that is truly freaky.,0.071247,0.131106,0.06412,0.450636,0.151333,Joy
That character is Zelda.,0.208203,0.158636,0.144168,0.158087,0.32214,Sadness
This particular character pops up in the film about three times to be precise.,0.246518,0.216814,0.0668,0.284067,0.136407,Joy
Zelda is Rachel Creeds sister who passed away years before but Rachel is still haunted by her.,0.051608,0.105848,0.249247,0.018084,0.650396,Sadness
There is absolutely nothing wrong with this movie it is almost perfect.,0.074875,0.15337,0.092946,0.33944,0.221547,Joy
Pet Sematary delivers great scares some pretty good acting first rate plot and mesmerizing makeup.,0.021042,0.007257,0.44329,0.303504,0.082764,Fear
This is truly one of most favorite horror films of all time.,0.006338,0.027,0.480129,0.289303,0.060694,Fear
10 out of 10.,0.171227,0.131477,0.172706,0.172181,0.321531,Sadness
This was a wonderful little American propaganda film that is both highly creative AND openly discusses the Nazi atrocities before the entire extent of the death camps were revealed.,0.292492,0.667991,0.127275,0.020871,0.071749,Disgust
The film begins in a courtroom in the futureafter the war is over the film was made in 1944the war ended in May 1945.,0.191432,0.150234,0.458382,0.12129,0.114178,Fear
In this fictitious world court a Nazi leader is being tried for war crimes.,0.284429,0.676308,0.044903,0.003092,0.182746,Disgust
Wilhelm Grimm is totally unrepentant and one by one witnesses are called who reveal Grimms life since 1919 in a series of flashbacks.,0.197654,0.208457,0.249041,0.089748,0.323458,Sadness
At first it appears that the film is going to be sympathetic or explain how Grimm was pushed to join the Nazis.,0.397712,0.578718,0.120566,0.013741,0.103417,Disgust
However after a while it becomes very apparent that Grimm is just a sadistic monster.,0.163973,0.153435,0.213055,0.126494,0.350329,Sadness
These episodes are amazingly well done and definitely hold your interest and also make the film seem less like a piece of propaganda but a legitimate drama.,0.103811,0.263005,0.106551,0.229508,0.246074,Disgust
All in all the film does a great job considering the film mostly stars secondtier actors.,0.044118,0.089442,0.051375,0.666668,0.043246,Joy
There are many compelling scenes and performancesespecially the very prescient Jewish extermination scene towards the end that cant help but bring you close to tears.,0.141492,0.361752,0.052426,0.003492,0.593146,Sadness
It was also interesting how around the same point in the film there were some supercreative scenes that use crosses in a way you might not notice at first.,0.102465,0.244337,0.072218,0.350074,0.136977,Joy
Overall its a mustsee for history lovers and anyone who wants to see a good film.,0.043182,0.147497,0.099883,0.468081,0.114735,Joy
FYIThis is not meant as a serious criticism of the film but Hitler was referred to as that paper hanger.,0.365105,0.567059,0.124338,0.024852,0.112047,Disgust
This is a reference to the myth that Hitler had once made money putting up wallpaper.,0.182563,0.502112,0.049735,0.159066,0.132917,Disgust
This is in fact NOT truepreviously hed been a starving artist homeless person and served well in the German army in WWI.,0.249288,0.606841,0.130557,0.009487,0.193134,Disgust
A horrible person yes but never a paper hanger.,0.136884,0.614383,0.061862,0.007499,0.338364,Disgust
Possible Spoilers AheadGerald Mohr a busy Bmovie actor during the Forties and Fifties leads an expedition to Mars.,0.287271,0.115728,0.215424,0.032524,0.462245,Sadness
Before we get to the Red Planet were entertained by romantic patter between Mohr and scientist Nora Hayden.,0.13251,0.099083,0.025178,0.515647,0.107836,Joy
resident doofus Jack Kruschen.,0.130249,0.367884,0.303416,0.175459,0.04192,Disgust
and the sight of Les Tremayne as another scientist sporting a billygoat beard.,0.064069,0.331019,0.028469,0.08151,0.523079,Sadness
The Martian exteriors feature fake backdrops and tints ranging from red to pinkthe Cinemagic process touted in the ads.,0.328164,0.247598,0.056858,0.019583,0.496463,Sadness
Real cool monsters include a giant amoeba a threeeyed insect creature an oversized Venus FlyTrap and the unforgettable ratbatspider.,0.068627,0.211387,0.093579,0.379804,0.137583,Joy
The whole bizarre adventure is recalled by survivor Hayden under the influence of hypnotic drugs.,0.112768,0.318996,0.24003,0.033724,0.414767,Sadness
THE ANGRY RED PLANET reportedly has quite a cult following and it probably picked up most of its adherents during the psychedelic Sixties.,0.813217,0.150475,0.024537,0.057375,0.017341,Anger
A difficult film to categorize.,0.210284,0.328338,0.259913,0.026647,0.33502,Sadness
Nor could I take the Irwins seriously as film characters when their lines  scenes were all in the style of one of his shows not acted out.,0.428262,0.376908,0.082323,0.014039,0.297494,Anger
This is nothing more than a glorified episode of a Discovery TV show with a largely insignificant sub plot going on which just seemed to get in the way.,0.181535,0.154756,0.048055,0.09894,0.530589,Sadness
However as any Irwin show is always worth a watch this film is well worth a look too but not on Christmas Day.,0.050663,0.048268,0.031356,0.662612,0.086351,Joy
Talking of which Ive better things to do too than be on here.,0.064533,0.030505,0.086667,0.549942,0.12375,Joy
A high 410.,0.123968,0.156176,0.251913,0.195662,0.231972,Fear
Instead he just shows him ramming away at them from behind.,0.25096,0.358992,0.106144,0.002732,0.46988,Sadness
Unfortunately the film doesnt explain that it was his first killing or that he didnt kill again for nine years.,0.195365,0.319735,0.068912,0.011634,0.554114,Sadness
We needed to see his perversion in more depth to understand just how detached he was from the rest of us.,0.174862,0.360826,0.042914,0.008248,0.563118,Sadness
Anyone watching this film who doesnt know the story of Dahmer might come away thinking he had only killed a few people.,0.134692,0.386827,0.224707,0.00605,0.424312,Sadness
He actually killed seventeen men.,0.327623,0.613131,0.092418,0.004359,0.174421,Disgust
Aside from the facts and lack of depth the film isnt all bad.,0.126836,0.596336,0.060017,0.039596,0.288572,Disgust
There is some nice cinematography and good performances from the two main characters.,0.007267,0.017039,0.016979,0.744353,0.098129,Joy
Id like to see this done again by a film maker who has more knowledge more energy and a better reason for making the film in the first place.,0.08065,0.070899,0.047548,0.538303,0.126226,Joy
A beautiful film touching profoundly up the simple yet divine aspects of humanity.,0.051895,0.072372,0.020213,0.724004,0.0393,Joy
This movie was almost perfect and seeing as nothing in this world can be truly perfect that is pretty good.,0.008681,0.006505,0.008344,0.903736,0.02667,Joy
The only minor thing I subjectively object to is the pacing at some points in the middle of the story.,0.149057,0.372129,0.090764,0.145614,0.267389,Disgust
The acting is also very good and all the actors easily top actors in highprofile films.,0.043079,0.12176,0.039579,0.621156,0.061338,Joy
The actual directing seems to have been well thought through and the script must have been amazing.,0.136018,0.168527,0.217636,0.339528,0.059498,Joy
There are some truly breathtaking moments of foreshadowing and a quite gorgeous continuing circular composition of the story.,0.016062,0.057853,0.024478,0.588177,0.160993,Joy
The moment in the movie when the main character achieves that feeling of being in heaven is the perfect ending to a truly brilliant yarn.,0.009712,0.006682,0.016545,0.744278,0.103839,Joy
The movie was very moving.,0.084156,0.076166,0.102581,0.398616,0.198121,Joy
It was tender and funny at the same time.,0.026131,0.058225,0.010027,0.751297,0.058892,Joy
The scenery was absolutely beautiful Peter Faulk and Paul Reiser gave award winning performances.,0.037175,0.125218,0.02472,0.701497,0.021774,Joy
Olympia Dukakis was great.,0.007875,0.00855,0.034156,0.892478,0.009998,Joy
I understand due to the story line her part had to be brief but I did wish I could have seen more of hershe is a true pro.,0.05097,0.237666,0.052498,0.044437,0.664716,Sadness
You will be able to recall experiences from your own life  hopefully in a positive way after seeing this movie.,0.038426,0.02504,0.051993,0.669589,0.089042,Joy
We were fortunate to see Paul Reiser at a Q and A after the viewing.,0.111702,0.132186,0.104119,0.330275,0.214227,Joy
He is a wonderful man clever eloquent and a real Person.,0.077486,0.224955,0.013925,0.565048,0.022688,Joy
It was truly an enjoyable night outThis is a must see movie.,0.021772,0.075265,0.078931,0.611273,0.08262,Joy
You will be so grateful you went.,0.007845,0.02142,0.017713,0.862216,0.02996,Joy
Usually when we use the word escapist we mean it negatively.,0.189581,0.108011,0.203805,0.133664,0.365004,Sadness
Warren Beattys big screen version of Dick Tracy proves that escapist can be good.,0.055533,0.408667,0.127981,0.117443,0.30619,Disgust
This is truly one entertaining movie.,0.02811,0.03926,0.037762,0.65623,0.106949,Joy
As the eponymous yellowclad fearless title character Beatty creates a detective to whom we can all relate ready for action but not without his weaknesses.,0.185185,0.07786,0.190341,0.153977,0.363798,Sadness
From there the rest of characters are almost a world unto themselves.,0.194063,0.175261,0.242392,0.096946,0.339833,Sadness
Tess Truehart Glenne Headly is as glamorous as one would expect the hubby of any crime fighter to be.,0.236359,0.296093,0.037495,0.11398,0.362121,Sadness
Breathless Mahoney Madonna is possibly the most perplexing person imaginable.,0.164685,0.306167,0.08402,0.17489,0.265623,Disgust
Big Boy Caprice Al Pacino is the average villain ruthless but cool.,0.048494,0.175667,0.226055,0.412451,0.029183,Joy
Other characters include the speechchallenged Mumbles Dustin Hoffman the overmusical 88 Keys Mandy Patinkin and The Kid Charlie Korsmo.,0.234451,0.158171,0.171413,0.17212,0.254489,Sadness
Charles Durning James Caan Dick Van Dyke Estelle Parsons Catherine OHara Seymour Cassel Paul Sorvino and Kathy Bates also star.,0.069904,0.556259,0.027549,0.20046,0.113018,Disgust
Oh wait a minute.,0.263311,0.053492,0.284157,0.059872,0.410459,Sadness
I havent even explained the plot The plot involves Tracy trying  and failing so far  to find some way to nab Big Boy.,0.222793,0.380051,0.099285,0.003583,0.47694,Sadness
Simultaneously some very bizarre events have been going on in town the answers to which may or may not be closer than everyone thinks.,0.212603,0.300294,0.300616,0.058158,0.248998,Fear
Of course the main thing about this movie is that its fun to watch.,0.023561,0.017724,0.032246,0.690457,0.106941,Joy
If Warren Beatty was having trouble acting his age then he made good use of that here.,0.139665,0.104076,0.192448,0.221842,0.273627,Sadness
Dick Tracy is one cool movie.,0.064502,0.206104,0.022292,0.583337,0.024825,Joy
After Dark My Sweet is a great modern noir filled with seedy characters dirt roads and of course sweaty characters.,0.070839,0.193906,0.104371,0.471301,0.051425,Joy
It seems that most of the truly great noirs of the last two or three decades have taken place in the South where the men glisten and the ladies um glisten too.,0.02556,0.19577,0.017191,0.391476,0.230957,Joy
Why Because its hooooottttttttttt.,0.170634,0.135146,0.16701,0.182064,0.309168,Sadness
And because everyone looks better wet at least the men do  sweaty women leave me clammy.,0.046232,0.563577,0.087132,0.125907,0.195059,Disgust
Anyway  there might be some spoilers in here.,0.230403,0.022283,0.286776,0.032154,0.508955,Sadness
Noir if anything is about moods and attitudes.,0.281804,0.020346,0.008628,0.3644,0.202309,Joy
or quickly paced adventures again all great noirs seem to be on slow burn like a cigarette.,0.058455,0.154793,0.108667,0.037711,0.690071,Sadness
Great noirs create an environment and you just inhabit it with the characters for a couple hours.,0.074985,0.031981,0.030203,0.713724,0.049209,Joy
After Dark My Sweet lets you do that  and it lets you enjoy the company of some very interesting and complex characters.,0.057278,0.067675,0.038142,0.741825,0.013313,Joy
They take the basic outlines of a character and give them depth and elicit our sympathies.,0.189924,0.179653,0.211369,0.095958,0.365942,Sadness
The story itself is also interesting.,0.056167,0.057724,0.030061,0.527419,0.176125,Joy
Therere better plots in the world of noir hardly any mystery here  mostly its suspense but this one is solid.,0.087019,0.039899,0.153901,0.378523,0.198338,Joy
If anything the simply okay plot has more to do with Jim Thompsons writing than anything else.,0.258982,0.106836,0.128723,0.117138,0.399328,Sadness
With Thompson plots are almost secondary.,0.167655,0.155485,0.313213,0.083027,0.335604,Sadness
he eschewed the labyrinthine tales of Hammett and Chandler for simpler stories with stronger more confusing characters.,0.100137,0.073992,0.046361,0.349209,0.286994,Joy
Look at a novel like The Killer Inside Me and and youll see right away from the title what its all about.,0.116216,0.209615,0.033126,0.046179,0.650473,Sadness
When it comes to Thompson its not what its about its how its about it to quote Roger Ebert.,0.077199,0.094804,0.063396,0.418307,0.204546,Joy
So really the relatively simple plot of a kidnapping is not the point and if you dont like it well the jokes on you.,0.211945,0.239095,0.090868,0.205703,0.232995,Disgust
Why this is an 8star movie rather than a 10star one is because of the female lead.,0.128133,0.120132,0.121843,0.228784,0.330019,Sadness
She simply doesnt have the chops or the looks for that matter and though she and Patric have some chemistry I dont have it with her.,0.162736,0.185525,0.346957,0.113238,0.227509,Fear
Perhaps the biggest waste of production time money and the space on the video store shelf.,0.191465,0.301994,0.14041,0.021361,0.49126,Sadness
If someone suggests you see this movie run screaming in the other direction.,0.260389,0.211615,0.124918,0.118124,0.318558,Sadness
Unless of course youre into selfabuse.,0.516787,0.043654,0.10423,0.079754,0.310572,Anger
This is why i so love this website  I saw this film in the 1980s on British television.,0.069956,0.105794,0.021626,0.668411,0.037036,Joy
Over the years it is one i have wished i knew more about as it has stayed with me as one of the single most extraordinary things i have ever seen in my life.,0.018364,0.095922,0.0534,0.298662,0.381202,Sadness
On the contrary the extraordinary relationship between the mother and daughter stuck in the mind as a testimony of great strength honour and dignity.,0.074567,0.06328,0.029857,0.571405,0.125026,Joy
Ironic you may think considering the squalor of their lives.,0.116465,0.087124,0.192082,0.287458,0.219591,Joy
Maybe its because i live in Britain where fading grandeur has an established language in the lives of old money where squalor is often tolerated as evidence of good breeding.,0.08581,0.101605,0.351628,0.082105,0.394963,Sadness
I saw it as a rare and unique portrayal of enormous spirit deep and profound humour whose utterly fragile and delicately balanced fabric gave it poise and respect.,0.056919,0.152771,0.108576,0.311632,0.251391,Joy
In a way i was sorry to see it being discussed as a cult.,0.060587,0.437248,0.243108,0.019133,0.384779,Disgust
Over the years as it faded in my mind it shone the brightest above all others as a one off brilliant  outstanding televisual experience.,0.060246,0.024477,0.020855,0.495726,0.22927,Joy
It was such a deeply private expose it seems odd to think of it becoming so public as to be a New York musical.,0.231204,0.358991,0.275229,0.0488,0.234713,Disgust
But perhaps somewhere the daughter will be amused by such an outcome.,0.123399,0.146992,0.122814,0.323066,0.194867,Joy
It is she who will have the last laugh maybe.,0.035227,0.053038,0.124414,0.143813,0.558721,Sadness
They made a musical out of her before you Jackie O .,0.048923,0.11742,0.148195,0.3987,0.155508,Joy
The Days is a typical family drama with a little catch  you must relate to the characters emotions in every way possible in order for you to truly appreciate the show.,0.045385,0.047632,0.012743,0.63662,0.124103,Joy
Possible Spoilers For Those Who Are Unfamiliar With the ShowThe story obviously for all the people who has watched the show is the world of Cooper Day the middle child of the family.,0.17981,0.442815,0.037041,0.102929,0.292379,Disgust
He records his days with his family and hopes to become a rich and famous writer one day because of his observations.,0.119839,0.024412,0.031075,0.425098,0.245753,Joy
His family includes a mother a father a perfect sister and a geniuslittlebrother.,0.089302,0.035196,0.003876,0.642738,0.105019,Joy
The first episode which is going to sound a bit stupid since John Scott Shepard has created this situation  both the sister and mother gets pregnant.,0.576664,0.174628,0.068561,0.116896,0.123111,Anger
Thats the first situation the writer hits.,0.204528,0.18174,0.20809,0.186694,0.213105,Sadness
Then the father quits his job at the law firm.,0.504415,0.174057,0.113025,0.037519,0.310296,Anger
The youngest son gets a panic attack.,0.050548,0.019295,0.893557,0.013436,0.064,Fear
The middle child gets in a fight with the sisters boyfriend.,0.391576,0.395211,0.161954,0.044789,0.17811,Disgust
This is all in a days work.,0.032673,0.088024,0.353633,0.281132,0.135758,Fear
SpoilersI admire this show.,0.115293,0.163874,0.081848,0.237665,0.317798,Sadness
I dont know.,0.163155,0.069772,0.414123,0.001455,0.488008,Sadness
Its a bit crappy but I like it.,0.285338,0.091368,0.251594,0.017774,0.485584,Sadness
First I thought the camerawork was a ripoff but then I got used it and started to like it.,0.430935,0.187296,0.083802,0.138856,0.198749,Anger
I liked the quiet conversations under a dark light.,0.041655,0.077429,0.334704,0.281189,0.15253,Fear
I liked the intimate feeling of the show.,0.059106,0.098876,0.04329,0.261764,0.406371,Sadness
I liked the lowbudget style.,0.077033,0.075961,0.106872,0.462489,0.140044,Joy
I liked the acting.,0.235567,0.210101,0.095259,0.166789,0.293829,Sadness
I admire the story.,0.128216,0.183961,0.079013,0.173547,0.389545,Sadness
Then I find myself wanting a second season of The Days.,0.079137,0.08539,0.098141,0.24995,0.371896,Sadness
I slowly became a fan of it as the 6episode airing on ABC came to an end.,0.126044,0.297961,0.071329,0.092751,0.45193,Sadness
Its a really good show and its nothing like The OC.,0.139174,0.075749,0.032266,0.463537,0.160029,Joy
The two have nothing in common.,0.101115,0.147311,0.065172,0.243611,0.350386,Sadness
So I hope fans will stop comparing them.,0.047696,0.644985,0.028795,0.062124,0.2726,Disgust
And if you can relate to either Abby Jack Natalie Cooper or even Nate youll like this show.,0.151412,0.218656,0.1012,0.208977,0.281306,Sadness
I honestly had no idea that the Notorious B. Gordon the director.,0.215767,0.292677,0.131926,0.012218,0.507872,Sadness
The man who attacked Loreen lost his wife and daughter this and wants his overdue revenge.,0.320551,0.314527,0.194075,0.000323,0.381757,Sadness
The film jumps back and forth between the events in present day and flashbacks of 1692.,0.073321,0.141794,0.074414,0.515655,0.077026,Joy
which keeps it rather amusing and fastpaced.,0.235614,0.11111,0.218653,0.212086,0.18667,Anger
The film gets pretty spastic and completely absurd near the end but overall theres some good cheesy fun to be had.,0.058358,0.05279,0.032265,0.607777,0.114738,Joy
Plus the least you can say about Bert I. Gordon is that he definitely build up some directorial competences over the years.,0.090781,0.14131,0.161338,0.227528,0.299567,Sadness
Quite what the producers of this appalling adaptation were trying to do is impossible to fathom.,0.162964,0.134211,0.157688,0.007026,0.659364,Sadness
A group of top quality actors in the main well cast with a couple of notable exceptions who give pretty good performances.,0.019984,0.026614,0.031179,0.793487,0.043397,Joy
Penelope Keith is perfect as Aunt Louise and equally good is Joanna Lumley as Diana.,0.046052,0.01449,0.021473,0.784677,0.046875,Joy
All do well with the scripts they were given.,0.261273,0.095785,0.374881,0.192239,0.062826,Fear
So much for the good.,0.064484,0.03384,0.074809,0.577915,0.110153,Joy
The average would include the sets.,0.230976,0.089194,0.116809,0.213257,0.29774,Sadness
Nancherrow is nothing like the house described in the book although bizarrely the house they use for the Dower House looks remarkably like it.,0.134512,0.201434,0.213731,0.159775,0.286255,Sadness
It is clear then that the Dower House is far too big.,0.182504,0.125375,0.308653,0.202256,0.15174,Fear
In the later parts the writers decided to bring the entire story back to the UK presumably to save money although with a little imagination I have no doubt they could have recreated Ceylon.,0.104427,0.187997,0.385502,0.075328,0.307234,Fear
Now to the bad.,0.19625,0.12468,0.393321,0.000386,0.446473,Sadness
This is such an appallingly bad adaptation is hard to find words to condemn it.,0.257672,0.16785,0.243763,0.003161,0.497873,Sadness
Edward does not die in the battle of Britain but survives blinded.,0.082506,0.044343,0.274964,0.014366,0.659899,Sadness
Gus a man besotted and passionately in love is prepared to give up his love without complaint.,0.055374,0.064191,0.057099,0.608567,0.087895,Joy
Walter Mudge in the book turns from a shallow unfaithful husband to a devoted family man.,0.112192,0.246578,0.027265,0.184927,0.382986,Sadness
Jess is made into a psychologically disturbed young woman who wont speak.,0.143997,0.30827,0.103415,0.007488,0.583546,Sadness
Aunt Biddy still has a drink problem but now without any justification.,0.181391,0.236458,0.107595,0.014609,0.594803,Sadness
The Dower House is occupied by the army for no obvious reason other than a very short scene with Jess who has a fear of armed soldiers.,0.091286,0.106377,0.805664,0.00113,0.106452,Fear
Whilst Miss Mortimers breasts are utterly delightful I could not see how their display on several occasions moved the plot forward.,0.11973,0.149055,0.167982,0.022664,0.635847,Sadness
The delightfully named Nettlebed becomes the mundane Dobson.,0.130526,0.150593,0.071411,0.179423,0.414579,Sadness
The word limit prevents me from continuing the list.,0.306701,0.276263,0.10887,0.023515,0.441345,Sadness
There is a sequel which I lost all interest in watching after this nonsense and I wonder if the changes were made to create the follow on story.,0.196599,0.105192,0.057427,0.076316,0.590385,Sadness
It is difficult to image that Rosamunde Pilcher would have approved this grotesque perversion of her book.,0.244113,0.486803,0.066776,0.006901,0.378368,Disgust
presumably she lost her control when the rights were purchased.,0.311578,0.063101,0.093046,0.007837,0.644954,Sadness
There is no greater disservice to do to history than to misrepresent it.,0.265666,0.084993,0.167647,0.015094,0.580153,Sadness
This takes the easiest and most shallow route simply portraying him as a monster.,0.071572,0.070263,0.105924,0.284803,0.33815,Sadness
Only showing his negative sides and exaggerating them.,0.20354,0.197168,0.113947,0.067557,0.478837,Sadness
Those who are ignorant of the past doom us to repeat it.,0.33829,0.246462,0.149474,0.013328,0.426694,Sadness
He was a human being.,0.11146,0.706354,0.020081,0.098349,0.098513,Disgust
That may prove tough to some people to accept but an important part of life is facing that which we dont want to.,0.151375,0.244749,0.089539,0.074887,0.493037,Sadness
Rather than demonizing the man we ought to try to understand him.,0.178083,0.471126,0.038247,0.023015,0.437139,Disgust
Otherwise we stand little chance of preventing anyone similar in the future or possibly even the present from succeeding at anything of remotely comparable scope as far as damage and misery goes.,0.145209,0.26276,0.129538,0.014984,0.577374,Sadness
Hate him and what he did dont make him into something mythical intentionally or otherwise.,0.648487,0.174805,0.14219,0.001233,0.222407,Anger
Frankly far too much of this miniseries could play dumb dumb duuum after or during scenes.,0.189419,0.148872,0.094036,0.004639,0.688123,Sadness
This should never be used to educate.,0.228377,0.187018,0.105106,0.037107,0.55031,Sadness
Use Der UntergangDownfall in English and maybe point out the few inaccuracies of that instead.,0.296202,0.18369,0.10813,0.013279,0.548287,Sadness
This this is disrespectful to the actual events that took place and to any and all survivors not to mention those who died.,0.16034,0.605722,0.097276,0.001935,0.315154,Disgust
The cinematic quality Topnotch.,0.212378,0.074126,0.064062,0.47342,0.067345,Joy
as it was written.,0.131954,0.087418,0.266982,0.251146,0.185127,Fear
perfectly the music is wellcomposed cinematography and editing are flawless and creative and this is definitely dramatic entertaining and riveting.,0.041863,0.017553,0.037412,0.734384,0.063397,Joy
They get dates and many occurrences and do them justice.,0.335503,0.194797,0.073824,0.040854,0.470245,Sadness
If I had been offered to work on this and did not feel I could be objective enough to have Hitler appear as a fully fleshedout person I would have declined citing that as the reason.,0.165563,0.389672,0.231926,0.00617,0.386085,Disgust
I dont blame anyone for loathing him.,0.373512,0.38401,0.130195,0.026532,0.268674,Disgust
How can you forgive what he did and are we sure that we should That is not what I am suggesting.,0.16557,0.137281,0.112665,0.205928,0.317404,Sadness
Finally let me point out that as I write this we are in a worldwide economic crisis that has lasted for about two years and that is not terribly dissimilar to the stock market crash of 1929.,0.224823,0.064348,0.171173,0.01206,0.636866,Sadness
Apart from that the lesson hadnt been learned.,0.176484,0.156714,0.187399,0.13715,0.349899,Sadness
